Date,Open,High,Low,Close,Adj Close,Volume
07/09/2021,375.880005,382.959991,373.149994,382.179993,382.179993,10793800
08/09/2021,380.160004,380.869995,374.790009,377.570007,377.570007,11067200
09/09/2021,377.640015,379.829987,376.570007,378,378,9098900
10/09/2021,381.359985,383.790009,378.26001,378.690002,378.690002,11549600
13/09/2021,381.679993,381.75,374.350006,376.51001,376.51001,13026300
14/09/2021,377.399994,378.589996,375.109985,376.529999,376.529999,8711600
15/09/2021,377,377.559998,367.670013,373.920013,373.920013,17940300
16/09/2021,372.790009,373.559998,369.709991,373.059998,373.059998,11934200
17/09/2021,371.410004,371.410004,361.589996,364.720001,364.720001,26299000
20/09/2021,359.299988,361.029999,349.799988,355.700012,355.700012,19822800
21/09/2021,358.5,360.040009,355.190002,357.480011,357.480011,11751900
