Label,ticker,date,time,headline,close
1,FB,22/09/2021,06:30AM,2 Growth Stocks to Buy Hand Over Fist If the Market Crashes,357.480011
1,FB,22/09/2021,02:23AM,"UPDATE 1-Facebook wraps up deals with Australian media firms, TV broadcaster SBS excluded",357.480011
1,FB,22/09/2021,12:36AM,"Facebook wraps up deals with Australian media firms, TV broadcaster SBS excluded",357.480011
1,FB,22/09/2021,12:27AM,"Facebook wraps up deals with Australia media firms, TV broadcaster SBS not included",357.480011
1,FB,21/09/2021,10:34PM,"Facebook overpaid FTC fine as quid pro quo to protect Zuckerberg from liability, shareholders claim",357.480011
1,FB,21/09/2021,06:20PM,Is GBTC Stock A Good Buy As Bitcoin Slumps After Big Rally?,357.480011
1,FB,21/09/2021,04:54PM,Facebook Oversight Board to Review Special Rules for High-Profile Users,357.480011
1,FB,21/09/2021,04:37PM,Facebook says Wall Street Journal report allegations are mischaracterizations,357.480011
1,FB,21/09/2021,04:36PM,These Are The 5 Best Stocks To Buy And Watch Now,357.480011
1,FB,21/09/2021,03:08PM,Facebook Questioned by Oversight Board Over Celebrity Rules,357.480011
1,FB,21/09/2021,03:06PM,UPDATE 1-Facebook Oversight Board seeks clarity on review system for high-profile users,357.480011
1,FB,21/09/2021,02:33PM,Hedge Funds Have Never Been This Bullish On Facebook Inc (FB),357.480011
1,FB,21/09/2021,02:21PM,Facebook Oversight Board seeks clarity on review system for high-profile users,357.480011
1,FB,21/09/2021,01:23PM,"Top Research Reports for Facebook, Walmart & Novartis",357.480011
1,FB,21/09/2021,01:06PM,"Facebook, Inc. Donates $2 Million to McBride Sisters Collections SHE CAN Fund",357.480011
1,FB,21/09/2021,01:04PM,Why Goldman Sachs just launched this ETF that will rival FAANG stocks,357.480011
1,FB,21/09/2021,01:03PM,Facebook to launch portable version of Portal video chat device,357.480011
1,FB,21/09/2021,01:00PM,Facebook launches new versions of its Portal video-calling screen,357.480011
1,FB,21/09/2021,01:00PM,Facebook Looks to Carve Out Market for Mobile Video-Chat Device,357.480011
1,FB,21/09/2021,12:31PM,Facebook Unveils Two New Portal Audio-Video Devices,357.480011
1,FB,21/09/2021,12:19PM,Top Communications Stocks for October 2021,357.480011
1,FB,21/09/2021,12:05PM,Google to Buy St. Johns Terminal in NYC for $2.1 Billion,357.480011
1,FB,21/09/2021,11:10AM,"Facebook spent over $13 billion on safety, security since 2016",357.480011
1,FB,21/09/2021,11:06AM,"Facebook spent over $13 bln on safety, security since 2016",357.480011
1,FB,21/09/2021,10:52AM,Goldman Sachs new ETF targets non-megacap tech stocks around the world,357.480011
